Texto, Usuario, Fecha_creacion
É pedir muito querer o fim do covid<coma> a vacina<coma> um bar com mesa de sinuca e um chopp gelado???,@mohaira_s,Fri Aug 21 21:28:38 +0000 2020
RT @toyor_pr: Once a lady find your replacement<coma> every conversation turn into arguments<coma> even your smile will look like COVID-19 symptoms 😹,@AkinremiEmmanu4,Fri Aug 21 21:28:38 +0000 2020
RT @foxnewsradio: Rep. Andy Biggs: Democrats And Republicans Are Using COVID and Mail-In Balloting For “Control” https://t.co/IxnM15NNLI ht…,@corzine_r,Fri Aug 21 21:28:38 +0000 2020
RT @ridgeisback: Covid has never added up from day 1. But facemasks for shoppers not assistants. For amateur boxers not professionals.  For…,@macca1969uk,Fri Aug 21 21:28:38 +0000 2020
Chand giram badal se... Ghoonghat mein chup jaana BJP ke keechad mein Jam kar thumka lagaana..,@Minniie_Mehra,Fri Aug 21 21:28:38 +0000 2020
RT @SolArcia17: Buenas noches<coma> Sres. el Dr. Francisco España. Medico en Edo. Bolívar<coma> necesita nuestra ayuda<coma> actualmente hospitalizado lib…,@gildrey2004,Fri Aug 21 21:28:38 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@abolan_,Fri Aug 21 21:28:38 +0000 2020
RT @Jefelin4K: @TherGa33 Soy profesor pero de Vandalucía<coma> esto es un horror debemos juntarnos padres y profesores contra esto. O eso<coma> o dej…,@ElTrompetista78,Fri Aug 21 21:28:38 +0000 2020
RT @cubadebatecu: Científicos cubanos explican detalles sobre candidato vacunal contra la COVID-19 en fase de... https://t.co/WZTByzbjG7 #C…,@Red_Ocelot,Fri Aug 21 21:28:38 +0000 2020
Se moría una chica de cancer y su ultimo deseo era ver a su papá<coma> el hisopado lo hizo y dio negativo<coma> no la dejaron… https://t.co/jnuSzgDIla,@eguebv,Fri Aug 21 21:28:38 +0000 2020
RT @adamcarolla: CNN has shown examples of people who followed all the rules and still died of COVID and people who followed none of the ru…,@grizzleerose,Fri Aug 21 21:28:38 +0000 2020
RT @jyanezm: Ni una coma<coma> ni un punto<coma> ni ningún otro signo... mejor expresado imposible.,@cbueno09,Fri Aug 21 21:28:38 +0000 2020
RT @CancilleriaVE: #NOTICIA | Embajada de Turquía entrega dotación de insumos médicos para la atención del COVID-19 en Venezuela  #Venezuel…,@Marbella3Olga,Fri Aug 21 21:28:38 +0000 2020
RT @1TSH1: What does the Virus have to do with Middle East Peace? Nothing.  The Covid Choreograph.  Wake up. "The UAE and Israel will immed…,@FishHousehold6,Fri Aug 21 21:28:38 +0000 2020
@akshaykumar @BearGrylls @DiscoveryPlusIn @DiscoveryIN Why did u promote Aditya Thacekrays App for CoVID voice dete… https://t.co/OkocoN6cGU,@DP65415704,Fri Aug 21 21:28:38 +0000 2020
RT @AndresVelasqz: Maduro ordena cierre del puente Simón Bolívar<coma> en frontera con Colombia y ordena tumbar servicio Airtm para evitar aport…,@horaexcelente,Fri Aug 21 21:28:38 +0000 2020
RT @Invesdoctor: COVID-19病棟を退院する際、PCR検査の陰性確認はもう要らないのですが、転院・退院先はいまだに「PCR陰性確認してからでないと受けません」と非プロフェッショナルなことを言ってくる。そのせいで、退院できない高齢者たちが増えてきて、軽症中等症…,@inaetou415mam,Fri Aug 21 21:28:38 +0000 2020
RT @OldManSkraps: @alpipkin @JulieReichwein1 I've been spreading this for a bit. Get ready for the hate. These are deaths WITH covid<coma> not F…,@MJSayre,Fri Aug 21 21:28:38 +0000 2020
RT @AlonzoKatelynn: I know covid is happening but I really wanna take a trip with my boyfriend.,@kiannnaaa11_,Fri Aug 21 21:28:38 +0000 2020
https://t.co/17Dm85XpGV  This is unintentionally funny ... or just F*cking stupid!,@Bookhimdannom1,Fri Aug 21 21:28:38 +0000 2020
RT @BernardoMF: Colunista da Folha é intimado a depor em inquérito aberto pela PF com base em lei da ditadura. "Mais um desvio autoritário…,@dorafilha,Fri Aug 21 21:28:38 +0000 2020
#DondeEstaElDinero #JuicioYcarcelParaJOH #HondurasLoExige,@NQuevil,Fri Aug 21 21:28:38 +0000 2020
RT @LaVivisRo: ¿Alguien ya sabe si Pio esta bien de salud o ... tiene anemia?,@jcvalienter,Fri Aug 21 21:28:38 +0000 2020
RT @AlexBerenson: No<coma> it looks at this point like total mortality has risen more than #Covid deaths (even with #Covid deaths counted extrem…,@Down_Is_Up,Fri Aug 21 21:28:38 +0000 2020
RT @EugeniodOrs_: Por un momento he creído que se iba a ocupar de las menores de Baleares.,@Laluli77,Fri Aug 21 21:28:38 +0000 2020
RT @MiercolesRepubl: Primera recomendación republicana de la tarde:   ✅ @lacriticamelind ✅ @irenepanea   ➡️ Retuitea este tuit ➡️ Sigue a q…,@marmota1109,Fri Aug 21 21:28:38 +0000 2020
RT @DonaldJTrumpJr: He takes a while to warm up. Many people take half a century to actually start doing something. Now he’s going to make…,@1961mado,Fri Aug 21 21:28:39 +0000 2020
RT @cpeedell: Quite unbelievable. Deloitte<coma> an accountancy and management consultancy firm<coma> is getting the national contract to do #COVID19…,@angieprysorjon1,Fri Aug 21 21:28:39 +0000 2020
United Kingdom Recession ‘21 commence... queue brexit 👀📉,@_siyaam_,Fri Aug 21 21:28:39 +0000 2020
RT @ldpsincomplejos: No sé si hay cárcel suficiente para este gobierno.  Sanidad dice ahora que Remdesivir "se va a agotar en las próximas…,@Marine75082226,Fri Aug 21 21:28:39 +0000 2020
RT @324cat: És un sistema únic al món capaç d’identificar quan un pacient de Covid empitjorarà per poder-lo tractar abans que ho faci. L’ha…,@FelipGordillo,Fri Aug 21 21:28:39 +0000 2020
RT @shannonrwatts: Eight minors in Florida have died from Covid-19<coma> including a 6-year-old girl this week.   77% of America’s teachers are…,@Trinity7588,Fri Aug 21 21:28:39 +0000 2020
Had a CEO/Leadership coach tell me this morning that a number of his clients have said that they made mistakes in h… https://t.co/9kI6KoxPmX,@christrumbla,Fri Aug 21 21:28:39 +0000 2020
RT @alcaldeledezma: MEDICOS<coma> ENFERMEROS<coma> TRABAJADORES DE LA SALUD.. MADURO LOS QUIERE MATAR DE HAMBRE<coma> ADEMÁS DEL CORONAVIRUS... Maduro otr…,@apolob3,Fri Aug 21 21:28:39 +0000 2020
@martinonyc Aye man<coma> SNY was shitting on Yoenis Cespedes for 2 days straight and now y’all are so concerned about COVID...okay sure,@matt_abstract_,Fri Aug 21 21:28:39 +0000 2020
RT @elizltmoore: As soon as UNC announced in May that it would reopen in the fall<coma> I texted a few people “I have a hunch.” So I filed a pub…,@alexrmccann,Fri Aug 21 21:28:39 +0000 2020
@AquinoTicias1 @ClaudiaLopez Antes eras chevere Aquinito. Entonces según tu lógica<coma> como nadie esta siguiendo las r… https://t.co/JoEXic0XBN,@danielsv996,Fri Aug 21 21:28:39 +0000 2020
RT @fernando_g_f_: #MandettaGenocida .. Graças a esse camarada a cloroquina ficou cada mais difícil de se encontrar nas farmácias já que el…,@sostingp,Fri Aug 21 21:28:39 +0000 2020
@ShiaLePuffe Gained that COVID-19 🥴🥴🥴,@NextDoorMD,Fri Aug 21 21:28:39 +0000 2020
